0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
21800,21800,21800,25200,25200,25200,25300,26200,26200,26200,26700,29100,29100,29100,31100,31100,31100,31100,33900,34400,37100,37100,37100,37100,37200,39400,39400,39800,39800,39800,40300,40900,43200,43200,43500,43500,43500,43500,45700,45700,45700,45700,45700,45700,45700,45700,47800,47800,47800,47800,47800,48800,49200,49200,50200,50200,50200,50200,50200,51500,51500,51500,51500,51500,51500,51500,51500,51500,51500,51500,51500,51500,51500,51500,51500,51500,51500,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,55100,56100,56100,56100,56100,57300,57300,57300,58700,58700,58700,58700,58700,58700,58700,58700,58700,58700,58700,58700,58700,58700,58700,58700,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
25100,25100,25100,29500,29500,29500,29500,30700,30700,31800,33400,33700,34100,34100,34100,35600,35600,35900,35900,36300,37200,37200,37200,37200,39400,39400,39400,39800,39800,40200,42600,42600,42600,43400,43400,43400,43500,44500,45400,45400,45400,45400,46400,49000,49000,49000,49000,49000,49000,49000,50300,50300,50300,50300,50300,52400,52400,52400,52400,52400,52400,52400,52400,52800,53600,53600,53600,53600,53600,53600,53600,53600,53600,53600,54500,54500,54500,54500,54500,54500,56500,56500,56500,56500,56500,56500,56500,56500,56500,56500,56500,56500,56500,56500,57200,57200,57200,57200,57200,57200,57300,57300,57300,57300,57300,57300,57300,57300,57300,57300,57300,57300,57300,57300,57300,57300,57300,57300,57300,57300,57300,57300,57300,57300,57300,57300,57300,57300,57300,57300,57300,57300,57300,57300,57300,57300,57300,57300,57300,57300,57300,57300,57300,57300,57400,57400,57400,57400,57400,57400
22100,24100,24100,25400,25400,25400,25400,25400,30000,30000,30000,30800,33300,33300,33300,33300,34600,34600,34600,34600,36000,36000,36000,38300,38300,38300,38300,38300,38300,38300,38300,38300,38900,38900,44600,44600,44600,44600,44600,44600,44600,44600,46200,46300,46300,46300,46300,46300,47800,47800,48300,48300,48700,48700,48700,48700,48700,51000,51000,51000,51700,51700,52300,52300,52300,54100,54100,56000,56000,56000,56000,56000,56000,56400,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,58100,58100,58100,58100,58100,58700,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
20600,25700,25700,25700,25700,27100,27800,29700,29700,29700,29700,29700,29900,31700,32900,33300,33300,35000,36800,36800,36800,36800,40500,40500,40500,41200,41200,41200,41900,41900,43200,43200,43200,43200,43700,44500,44500,44500,44500,44500,44500,44500,45300,45500,45500,45500,45900,47400,47400,48300,48300,48300,49800,49800,49800,49800,49800,49800,49800,49800,49800,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50700,50700,51400,51400,51400,51400,51800,51800,51800,53000,53000,53000,53000,53000,53000,53000,54000,54000,54000,55400,55400,55400,55400,55400,55400,55400,55400,55400,55400,55400,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,56600,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000
20100,20400,22100,24300,24300,25300,27000,27000,29100,29100,30800,34000,34000,34000,35300,35300,36100,37000,37000,37000,37000,37000,37000,37100,37100,37100,37100,39200,39200,39200,41200,41200,41400,41400,41400,41400,42200,42500,44200,44200,44200,44200,44200,44200,44200,44200,44200,44200,44200,44900,44900,44900,46300,46300,46300,46300,46300,49000,49000,49000,49000,49000,49000,49000,50000,51000,51500,52300,52300,52300,54100,54100,54100,54100,54100,54900,55500,55500,55500,55500,56300,56300,56300,56300,56300,56300,56300,56300,56300,56300,56300,56300,56300,56300,56300,56300,56300,56300,56300,56300,56300,56300,56300,56300,56300,56300,56300,56300,56300,56300,56300,56300,56300,56300,56300,56300,56300,56300,56300,56300,56500,56500,56500,56500,56500,56500,56500,56500,56500,56500,56500,56500,56500,56500,56700,56700,56700,56700,58100,58100,58100,58100,58200,58300,58300,58300,58300,59900,59900,59900
21600,21600,21600,22600,24300,24300,26200,26200,27300,29200,31200,32600,32600,32600,32600,32700,36100,36100,36100,36100,36300,36300,39100,39100,39100,39100,42700,45500,45500,45500,45500,45500,45500,47100,47100,47100,47100,47100,47100,47100,47100,47100,47100,47100,49200,49200,49200,49200,49200,49200,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50700,50700,50700,50800,51100,51100,53000,54100,54100,54100,54100,54100,54400,54400,54400,54400,54400,54400,54400,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,55100,56600,57800,57800,57800,58000,58000,58000,58000,58000,58000,58000,58000,58000
24100,24500,24500,24500,26500,26900,26900,27000,27300,30300,30300,30300,36400,36400,36400,37000,37000,37000,37100,37100,37100,37100,37100,39500,39500,39500,39500,40200,40200,41700,41700,42400,42400,43800,43800,43800,44900,45900,45900,45900,45900,46900,49000,49000,49000,49000,49000,49000,49000,49000,49000,49600,49600,49600,49800,49800,51800,51800,51800,51800,51800,51800,51800,51800,51800,51800,51800,51800,51800,51800,51800,51800,51800,52100,52100,52100,52300,52300,52300,52300,52300,52300,52300,52300,52300,53500,53500,53500,53500,53500,53500,53500,53500,53500,53500,53500,53500,53500,53600,53600,53600,53600,53700,53700,53700,53700,53700,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,55300,55300,55300,55300,55300,55300,55300,55300,55300,55300,55300,55300,55300,55300,55300,55300,55300,55300,55300,55300,55500,55800,55800
23200,23200,23200,23200,23200,23200,25100,25100,26100,26100,26100,26600,26600,29200,29400,31300,31700,31700,34500,34500,34500,35400,37500,37500,37500,37500,37500,37500,37500,39700,39700,39700,39800,39800,39800,39800,39800,39800,39800,41200,41800,41800,41800,41800,41800,41800,42500,42500,42500,42500,42500,42500,44800,44800,46300,46300,46300,46300,46300,46300,46300,46300,46300,48600,48600,48600,49900,49900,49900,50900,50900,50900,50900,50900,50900,51300,51300,51300,51300,51300,51300,52000,52000,52000,52000,52700,52700,52700,52700,54600,54600,54600,54600,54600,54600,54600,54600,54600,56300,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,56800,58300,58300,58300,58300,58300,58300,58800,58800,58800,58800,58800,58800,58800,58800,58800,59700,60700,60700,60700,60700,60700,60700,60700,60700,60700,60700,60700,60700,60700
20800,24000,24000,24000,24200,28300,28300,28300,28300,28300,28300,29400,29400,29400,29400,29400,29900,31800,31800,31800,31800,34700,34700,34700,36500,36800,36900,38500,38500,39100,39300,39300,39700,40900,40900,42600,42600,42600,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,45600,45600,45600,45600,45600,45600,45700,45700,45700,45700,47600,47600,47600,47600,48000,48700,48700,48700,49800,49900,49900,49900,49900,49900,52500,52500,52500,52500,52500,53100,53100,53100,54900,54900,54900,57400,57400,57400,57400,57400,57400,57400,57400,57400,57400,57400,57400,57400,57400,57400,57400,57500,57500,57500,58600,58600,58600,58600,58600,58600,58700,58700,58700,58800,58800,58800,58800,58800,58900,58900,58900,58900,58900,58900,58900,58900,58900,58900,58900,60000,60000,60000,60000,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900
24200,24200,25500,25500,25500,25500,27700,29100,32100,32100,32100,32100,32100,34100,35000,39200,39200,39200,39200,39200,39200,39200,39200,39200,39400,39400,39400,40700,40700,42200,42200,42800,42800,42800,42800,42800,42800,42800,43000,44600,44900,45200,45200,45200,45400,45400,45400,45400,45400,47100,47100,47100,49400,49400,49400,49400,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,51000,51000,51000,51100,51100,53100,53100,53100,53100,53100,53100,53100,53100,53100,53100,53100,53300,53300,53300,53300,53300,53700,53700,53900,53900,53900,53900,53900,53900,53900,54500,54500,54500,54500,54500,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,55200
