0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
25100,25100,26400,26400,26400,26400,30600,31400,31400,31400,34900,34900,36300,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,39300,39300,39300,39300,39300,39300,40700,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,43000,46300,46300,46300,46300,46300,47000,48000,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700
19400,22600,22700,23700,25000,26800,26800,28000,28000,29100,29100,29100,32700,35300,35300,35300,35300,35300,35300,38200,38200,38200,38900,39300,39300,39300,39300,39300,39300,39300,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41300,41300,41300,41300,41300,41300,41300,41300,41300,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45700,45700,45700,45700,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400
22900,23000,23200,24800,26100,26800,27800,27800,27800,27800,29100,30500,30500,30500,31100,34200,34200,34200,34200,34200,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35100,35100,35300,35300,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,37200,37200,37200,37200,37200,37200,37200,39200,39200,39200,39200,39200,39200,39200,39200,39200,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42600,42600,42600,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,44100,44100,44100,44100,44100,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,47400,47400,47900,47900,47900,47900,47900,47900,47900,47900,47900
21500,21500,23000,24700,25300,26500,26900,27100,30700,30700,30700,30700,30700,30700,30700,30700,31700,31700,31700,31700,31700,31700,33000,33000,33000,33300,33300,33300,36000,36000,36000,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,37800,37800,37800,37800,37800,37800,37800,37800,37800,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41600,41600,41600,41600,41600,41600,41900,41900,41900,41900,41900,41900,42000,42000,42200,43300,43300,43300,43300,43300,43300,43300,43300,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45900,45900,45900,45900,45900,45900,45900,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100
22800,23300,25400,25400,26200,26800,28600,30700,30700,30700,30700,30700,30700,30700,30900,30900,34800,34800,34800,34800,34800,34800,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,36400,38000,38000,38000,38000,38000,38000,38000,39700,39700,39700,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,41500,41500,41500,41500,41500,41500,41500,41800,41800,41800,41800,41800,41800,41800,43500,43500,43500,43500,43500,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,45500,45500,45500,45500,45800,45800,45800,45800,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200
19300,22100,22200,22200,22200,23800,23800,25700,25700,26900,26900,26900,28200,28200,28200,28200,28200,28400,28400,28400,28400,28900,29600,29600,30200,30200,31000,31000,31500,31700,31700,31700,31700,31700,31700,31700,33000,33100,33100,34300,34300,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,38500,38500,38500,39100,39100,39400,39400,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43800,43900,43900,43900,43900,45000,45000,45000,45000,45000,45000,45000,45000,45900,45900,45900,48000,48000,48000,48000,48000,48000,48000,48000,48000,48700,48700,48700,48700,48700,48700,48700,48700,48700,48700,53000
21200,21200,21200,21800,27100,27900,31000,31000,31000,31000,31000,32500,32900,32900,32900,32900,33800,33800,33800,34200,34800,36800,39600,41000,41000,41900,42700,42700,42700,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45900,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400
20100,23800,25500,25500,25800,27500,27500,28000,29400,29400,29700,30400,30400,31100,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34800,34800,37300,37300,37300,37300,37300,37300,37700,37700,37700,37700,37700,37700,39300,39800,41200,41200,44900,44900,45900,45900,45900,45900,45900,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50900,50900,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51600,52000,52000,52000,52000,52000,52000,52000
21000,22200,22200,23500,24300,24300,26400,26400,28600,28600,28600,28600,30600,31600,31600,31600,31600,31600,31600,31600,31600,31600,33100,33100,37300,37300,37300,37300,38100,38100,38100,38100,38100,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39400,39400,39400,40000,40000,40000,40000,40000,40000,40000,40000,40000,40700,40700,40700,40700,40700,40700,40700,40700,40700,40700,40700,40700,40700,40700,40700,40700,40700,40700,41700,41700,41700,41700,41700,41700,41900,42000,42000,42000,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600
24600,25700,25700,25700,28100,28100,28800,28800,30800,30800,32800,32800,34400,34400,34400,36100,36100,36100,36100,36100,37000,37000,37000,37000,37000,37000,37100,37100,37100,37100,37100,41200,41200,41200,41200,41200,41200,41200,41200,41300,42200,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,47000,47000,47000,47000,47000,47000,47000,47000,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900
