0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
23000,23000,23000,25500,25500,25500,27800,27800,30800,31100,31100,31400,31400,31600,32400,32500,32500,33200,33800,33800,33800,33800,35200,35200,35200,36400,36400,38200,38400,38400,38400,38400,39100,39100,39300,39300,40800,40800,42100,42100,42400,43200,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,47900,47900,47900,48600,49800,49800,49800,49800,49800,50700,51700,51700,51700,51700,51700,51700,51700,51700,51700,51700,51700,51700,51700,51700,51700,51700,51700,51700,51700,51700,51700,51700,51700,51700,51800,51800,51800,51800,51800,51800,51800,51800,52900,52900,52900,52900,52900,52900,52900,52900,52900,52900,52900,52900,52900,52900,52900,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54900,54900,54900,54900,55700,55700,55700,55700
18800,19900,19900,22800,22800,24000,25400,26300,28900,30500,30500,32200,32200,32900,34000,35600,35600,38000,38000,38000,38300,39600,39600,39600,39600,39600,39900,39900,39900,40300,40300,40500,42000,42200,42200,42900,42900,44300,44300,44300,44300,44300,45400,45400,48000,48000,48000,48000,48000,50100,50100,50100,50100,50100,53800,53800,53800,54500,54500,56400,56400,56400,56400,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57100,57900,57900,57900,57900,58400,58400,58400,59200,59200,59200,59200,59200,59200,59200,59200,59200,59200,59200,59200,59200,59200,59200,59200,59200,59200,60300,60300,60300,60300,60300,60300,60300,60300,60300,60300,60300,60300,60300,60300,60300,60300,60300,60300,60300,60300,60300,61500,61500,61500,61500,61500,61500,62200,62200,62200,62200,62200,62200,62200,62200,62200,62200,62800,62800,62800,62800,62800,62800,62800,62800,62800,62800,62800,62800
19700,20900,23100,23100,27400,27400,27400,28200,29100,29100,31600,31700,35000,35000,35000,38200,40200,40200,40200,40200,40200,40300,40300,40300,40300,40300,40300,40300,42400,42400,42400,42400,42400,42600,42600,42600,42600,43400,43400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45900,45900,45900,47000,47000,47000,47000,47200,47200,47200,47200,47200,47200,47200,47200,47200,47200,47200,47200,47200,47200,47200,47600,47600,47600,47600,47600,48500,48500,48500,48500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,52200,52200,52200,52200,52200,52200,52200,52200,52200,52400,52400,52400,52900,52900,52900,52900,52900,52900,52900,52900,52900,52900,54900,54900,56500,56500,56500,56500,56500,56500,56500,56500,56500,56500,56500,56500,56500,56500,56500,56500,56500,56500,56500,56500,56500,56500
22800,22800,22800,26900,26900,26900,27700,27700,27700,28000,31800,31800,31800,33700,33700,36600,36600,36600,36600,36600,36600,36900,36900,37000,39300,39300,42100,42100,42100,42100,42400,42400,42400,42400,42400,42400,42900,42900,42900,43100,43100,43100,43500,43500,43500,43500,43500,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,45100,45100,45100,45100,46600,46800,46800,47300,47300,47300,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47700,47700,47700,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,48500,48600,49300,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,51000,51000,51000,51000,51000,51000,52200,52200,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53100,54100,54100,54100,54200,54200,54200,54200,54200,54200,54300,55500,55500
19800,19800,20800,20800,21400,24300,24800,24800,24800,26900,28800,28800,28900,29800,29800,31700,31700,31700,31700,31700,32700,33300,33300,33300,33400,33400,33400,35100,35100,35600,37100,37100,37100,37100,38100,38100,38100,38100,38100,38900,38900,38900,38900,38900,40100,40300,40900,40900,40900,40900,40900,40900,40900,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,44300,44300,44300,44300,46000,46100,46100,46100,46100,46100,47900,47900,47900,47900,47900,47900,47900,48000,48000,48000,48100,48100,48100,48100,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,49600,49600,49600,49600,49600,49600,49600,49600,49600,49600,49600,49600,49600,49600,49600,49600,49600,52000,52000,52000,52000,52000,52000,52000,52000,52000,52500,52500,52500,52500,52500,52500,52500,52500,52500,52500,52500,52500,52500,52500,52600,52600,53500,53500,53500,53500
21100,22400,24600,24600,28300,28300,28300,28300,28800,28800,30900,30900,32200,32200,35400,35700,35700,36500,36500,36500,36500,36500,37700,37700,37700,37700,37700,40100,40100,40100,40100,41700,41700,41700,41700,41700,42100,42100,44000,44000,46000,46000,46000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,49200,49200,49200,50300,50300,50300,50300,50300,50300,50300,50300,50300,50300,50300,50300,50300,50300,50300,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700
24000,24000,24000,24800,24800,25000,25000,28700,28700,28700,28700,28700,28800,28800,28800,28900,31300,31500,31500,31500,32300,32300,32300,33500,33500,33500,34800,35100,36500,36500,36500,37500,37500,37500,40200,40200,40200,40300,40300,40300,40300,40900,41400,42300,42300,42300,42300,42300,43000,43000,43000,43000,43000,43000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,47700,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,51100,51100,52800,52800,52800,52800,53600,53600,53600,53600,53600,53600,53600,53800,53800,53800,53800,53800,53800
26200,26200,26200,26200,26200,26500,29200,29500,29500,29500,31900,31900,33100,35100,35100,35100,35100,35900,35900,36000,36000,36000,36800,36800,36800,38100,38100,38100,38100,38100,38100,38900,38900,38900,39000,39000,39000,39000,39000,39500,40100,40100,40100,40100,41400,41400,44700,44700,44700,44700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,51300,51300,51300,51300,51300,51300,51300,51300,51300,51300,51300,51300,51300,51300,51300,51300,51300,51300,51300,51300,51300,51300,51300,52800,52800,52900,52900,52900,52900,52900,53800,53800,53800,53900,53900,53900,53900,53900,53900,53900,53900,53900,53900,53900,53900,53900,54000,54000,56200,56200,56200,56200,56200,56200,56200,57100,57100,58200,58200,58200,58200,58200
19200,22000,23000,23300,24400,24400,28300,28300,28300,28300,28300,28400,28400,30200,30200,30200,31000,33300,33300,33300,33300,34600,34600,40700,40700,40700,40700,40700,41100,41100,42000,42000,44700,44700,44700,44900,44900,44900,44900,44900,44900,44900,44900,45000,45400,45400,45400,45400,45400,45400,47400,47400,47400,47400,48900,48900,48900,49000,49000,49000,49000,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,51400,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52300,52300,52300,52300,52400,52400,53000,53000,53000,53700,53700,53700,53700,53700,53700,53700,53800,53800,53800,53800,53800,53800,53800,53800,53800,53800,53800,53800,53800,53800,53800,53800,53800,53800,53800,53800,53800,53800,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,59000,59000,59000,59000
19700,19700,19700,21000,21000,21900,22100,22100,24800,24800,26300,26300,26300,28900,30000,30300,31600,31600,32700,34800,34900,34900,35700,36200,36200,37300,37300,39400,39400,39400,39400,39400,39400,39800,41000,41400,41400,41400,43000,43000,43000,44000,44000,44000,44000,45000,45000,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,47700,47700,47700,47700,47700,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,50700,50700,50800,50800,50800,50900,50900,50900,50900,50900,51900,51900,51900,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600
