0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
18900,20400,20400,22300,22300,24000,24000,31300,31300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32600,33000,34700,34700,34700,34700,34700,34700,34700,34700,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,37200,37200,37200,37200,37200,37200,37200,37200,37200,37200,37200,37200,37200,37200,37200,37200,38300,38300,38300,38300,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400
22400,26100,26100,26100,26100,26100,26100,26100,27900,27900,27900,27900,27900,29200,30500,30500,30500,30500,30500,30500,37800,37800,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,46900,46900,46900,46900,46900,46900,46900,46900,46900,46900,46900,46900,46900,46900,46900,46900,46900,46900,46900,46900,46900,46900,46900,46900,46900,46900,46900,46900,46900,46900,46900
20800,23800,23800,27700,27700,27700,27700,28400,28400,28400,28400,28400,28400,28400,30700,30700,30700,30700,30700,30700,30700,30700,31400,31400,31400,31400,31400,32400,33100,33100,33600,33600,33600,33600,36900,36900,36900,36900,36900,36900,36900,37500,37500,37500,37500,37500,37500,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,45600,45600,45600,45600,45600,45600,47000,47000,47000,47000,47000,47000,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,49700,49700,49700,49700,49700,49700,49700,49700,49700,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52300,52300,52300
22000,22000,22400,22400,26400,26400,26400,26400,28900,28900,28900,28900,29200,29200,31800,31800,31800,31800,31800,31800,32200,32400,32400,32400,34100,34100,34100,34100,37600,37600,37800,37800,37800,37800,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42800,42800,42800,42800,42800,45000,45000,45000,45000,45000
22600,23800,24400,26100,28200,28200,29100,29100,29100,30100,30100,30100,34500,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,35200,36600,36600,36600,36600,36600,36600,36600,36600,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,39900,39900,39900,39900,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,43400,43400,43400,43400,43400,45400,45400,45400,45400,45400,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100
20800,23000,27500,28500,29300,29300,29300,29300,30300,30300,30300,30300,30300,30700,30700,31100,33400,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,39200,39200,39200,39200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40300,40300,40700,40700,40900,40900,40900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43500,43500,43500,43500,43500
25700,25700,25700,26500,28300,28300,28300,28900,28900,28900,28900,28900,28900,33200,33200,33200,33200,33200,35300,35300,35300,35300,35800,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,37200,37200,37200,37200,37200,37200,37200,37200,37200,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39900,39900,39900,40600,40600,40600,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,44800,44800,44800,44800,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400
21400,22700,27700,28400,28400,28400,28400,28400,28400,28400,28400,29800,29800,29800,30600,36000,36000,36000,39300,39300,39300,39300,39300,39300,39300,39300,40000,40000,40000,40000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42200,42200,42200,42200,42200,42200,42200,42900,42900,42900,42900,42900,42900,42900,42900,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,46000,46000,46000,46000,46000,46000,46000,46000,46000,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300
22500,22500,22900,25300,25300,25300,25300,25300,25300,25300,25300,25300,28300,28300,28300,28300,29400,29400,30800,30800,30800,30800,30800,30800,30800,30800,30800,30800,30800,30800,33600,33600,33600,33600,34000,37300,37300,37300,37300,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,41100,41300,41300,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200
23600,24200,24200,28800,28800,28800,28800,29900,31000,31200,33300,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34700,34700,34700,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,36800,36800,37400,37400,37400,37400,37400,37800,37800,37800,37800,37800,39900,39900,39900,39900,39900,44000,44000,44000,44000,44000,45500,45500,45500,45500,45500,45500,45500,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,48200,48200,48200,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
