0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
22600,22600,22600,23400,25600,25600,30300,31600,31600,32400,32400,32400,32400,32400,32400,34600,34600,34600,34900,34900,34900,34900,35800,35800,36300,36300,36300,38800,38800,38800,38800,38800,38800,38800,39100,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41900,41900,41900,42200,42200,43200,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,46000,46000,46000,46000,46000,46000,46000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,49000
22700,22700,22700,23400,28100,28100,28100,28100,29600,29600,29600,29600,30000,30000,30500,32100,32100,32100,32600,32600,34900,34900,34900,34900,34900,34900,35300,36600,36600,36600,38000,38000,38000,38000,38000,38000,40800,40800,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41700,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300
18600,21200,22000,22000,23900,23900,25000,25000,25000,25000,25000,27400,27400,28600,28600,28600,28600,28600,28600,29100,29200,30300,30300,30800,30800,30900,30900,30900,30900,30900,30900,31800,31800,31800,31800,31800,31800,34100,34100,34300,34300,34300,34300,34300,34300,34300,34300,34800,34900,36000,36000,36000,36000,36000,36000,36000,36000,36000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,38000,38200,38200,39100,40000,40200,40200,40200,40200,40200,40200,40700,40700,40700,41400,41400,41400,41400,41400,41400,41400,43700,43700,43700,43700,43700,43700,43700,44000,44000,44000,44000,44000,44000,44000,44000,45000,45000,45000,45000,45000,45000,45000,46900,46900,46900,46900,46900,46900,50300,50300,50300,50300,50300,50300,50300,50300,50300,50300,50300,50300,50300,50300,50300,50300,50300,50300,50300,50300,50300,50300,50300,50300,50300,50300,50300,50300,50300,50300,50300
20500,21000,21000,23600,23600,24100,25600,27500,27500,27500,27500,29400,29400,29400,29400,29400,33900,33900,33900,33900,33900,33900,33900,33900,33900,35000,35000,37400,37400,37400,37400,37400,37400,37400,37400,37400,38800,38800,41100,41100,41100,41100,41100,41200,41200,41200,41200,41900,41900,41900,41900,41900,41900,41900,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,49000,49000,49000,49200,49200,49200,49200,49200,49600,49600,49600,49600,49600,49600,49600,49600,49600,49600,49600,49600,49600,51300,51300,51300,51300,51300,51300,51300,51300,51300,51300,51300,51300,51300,51300,51300,51300,51300,51300,51300,51300,51300,51300,51300,51300,51300,51300,51300,51300,51300,51300,51300,51300,51300,51300,51300,51300,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000
28300,28300,29200,29200,29200,29800,29800,29800,30900,30900,30900,31500,35000,35000,35000,35000,35000,35000,36700,36700,36700,36700,36700,38600,38600,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,41300,41300,41300,41300,41300,41300,41700,42000,42000,44500,44500,44500,44500,44500,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,45100,45400,45400,45400,45400,45400,45400,47200,47200,47200,47200,47200,47200,47200,47200,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48400,48400,48400,48400,48400,48400,48400,48400,48400,48400,48400,48400,48400,48400,48400,48400,48400,49100,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400
24400,24400,26600,26600,26600,26600,27100,27100,27200,27200,28700,28700,28700,28700,28700,30100,32200,32200,32600,34700,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,36500,38000,38000,38000,38000,38000,38000,38000,38000,39300,39300,39300,39900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,44000,44000,44000,44000,44000,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45600,46600,46600,46600,46600,46600,46600
23100,23200,24000,24000,26300,27600,27600,27600,27700,30200,30200,30200,30200,30200,31600,31600,31600,31600,31600,31600,31600,32500,32500,32500,32500,33100,33100,36600,36600,36600,36700,38500,38500,38500,38500,40000,40100,40100,40100,40100,40100,40100,40100,40100,40100,40400,40400,40400,41200,41200,41200,41200,41200,41200,41200,41200,41400,41400,41400,41400,41400,41400,42500,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,48300,48300,48300,48300,48300,48300,48700,48700,48700,48700,48700,48700,48700,48700,48700,48700,48700,48700,48700,48700,48700,48700,48700,48700,48700,49600,49600,49600,50200,50200,50200,50200,50200,52300,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400,52400
23500,23500,23500,24800,24800,25600,25600,25600,26100,29800,29800,33900,33900,33900,33900,33900,34200,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36200,36200,36200,36200,36200,36200,36200,37900,39000,39000,39000,39000,39000,39000,39000,40100,40100,40300,40400,40400,40400,40400,40400,40400,41800,41800,41800,41800,41800,41800,41800,41800,42700,42700,42700,42700,42700,43900,43900,43900,43900,44900,44900,44900,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600
22400,22400,24500,24500,24500,28600,28600,28600,28600,28600,29400,29400,29400,30100,30100,30500,30500,30500,31000,31000,31200,31200,35800,35800,36100,41100,41100,41100,41100,41100,42600,42600,42600,42600,42600,42600,42600,42600,42600,42900,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,45700,45700,45700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200
23100,23100,23100,28200,29200,29200,29200,29600,29600,29600,32800,32800,33800,35800,35800,38300,38300,38300,38300,38300,38300,38300,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,42400,42400,42400,44300,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45800,45800,45800,45800,45800,45800,45800,45800,45800,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100
