0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
25000,25000,25000,25000,25000,27800,28700,28700,28700,28700,28900,28900,28900,28900,31300,31300,32200,32200,32200,32300,32800,32800,32800,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,35100,35100,35100,35100,35100,38200,38200,38200,38200,38200,38300,38300,38300,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,39400,39400,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,40700,40700,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900
19900,22600,22600,23500,26300,26300,27500,31400,31400,31400,31400,33700,33700,33700,33700,33700,33700,34400,34400,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,37400,37400,37400,37400,37400,37400,37400,39600,39600,39600,39600,39600,39600,39600,40200,40200,41300,41300,41300,41300,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,44300,44300,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,46100,46100,46100,46100,46100,46100,46100,46100,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100
21900,22800,22900,23700,28000,28000,28000,28000,28100,28400,29400,29600,29600,29600,30500,33100,33100,33100,33100,33100,33100,33400,34400,34400,34400,38300,38300,38300,39300,39300,39300,39300,40100,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,42100,42700,42700,42700,42800,42800,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43800,43800,43800,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000
22900,23400,26000,26000,26200,27200,27200,28200,28200,28200,28200,28200,29500,29500,30100,30100,34100,34100,34100,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,40200,40200,40200,40200,40200,40400,40400,40400,40400,40400,40400,40400,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41800,41800,41800,42100,42100,42100,42100,42100,42100,42100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,44200,44200,44200,44200,44200,44200,44200,44200,44200,44200,44200,44200,44200,44200,44200,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400
25600,25600,27100,27100,27100,27100,27100,29500,29500,29500,29500,29500,30100,30100,30100,30100,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33900,33900,33900,33900,33900,33900,35400,35400,35400,36000,36000,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,39100,39100,39100,39100,40500,40500,40500,40500,40500,40500,40500,40500,41500,41500,41500,42900,42900,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400
22000,22900,22900,22900,24200,27000,29700,29700,29700,29700,29700,31000,31000,31000,31000,31000,32500,34800,35300,35300,35300,35300,35300,35300,37200,37200,37200,37200,37200,37200,37200,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,40500,40500,40500,40500,40500,40500,40500,40500,42000,42000,42000,43400,43400,43400,43800,43800,43800,43800,43800,43800,43800,43800,43800,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,45100,45100,45100,45100,45300,46800,46800,46800,46800,47000,47000,47000,47000,47000,47000,47000,47100,47100,47100,47100,47100,47100,47100,47100,47100,47100,47100,47100,47100,47100,47100,48000,48000,48000,48000,48000,48000,48000,48000,48000,48100,48100,48100
21500,21500,22100,22100,22100,23400,23400,27700,27700,27800,27800,27800,28300,28300,28300,28300,28300,29700,29700,29700,29700,36900,38900,38900,38900,38900,38900,38900,39000,39000,39000,39000,39000,39000,39000,39000,39000,39300,42900,42900,42900,42900,42900,42900,42900,42900,42900,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,47100,47100,47100,47100,47100,47100,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600
21200,23100,27300,27300,27500,27500,29000,30200,30900,30900,31300,32000,32000,32000,32400,32400,32400,32400,32400,33900,33900,33900,33900,33900,33900,33900,33900,38100,38100,40100,40100,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42500,42500,42500,42500,42500,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,43200,46000,46000,46000,48100,48100,48100,48100,48100,48100,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400
17800,18100,21300,21300,21800,23500,23500,23500,27900,27900,27900,31400,31400,31400,33400,33400,33400,33400,33800,33800,34100,34100,34100,34100,34100,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,37900,37900,37900,37900,37900,37900,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,39400,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,43200,43200,43400,43400,43400,43400,43400,43400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400
22000,22000,24200,25500,28000,31600,31600,31600,31600,31600,34800,34800,34800,35900,35900,35900,35900,35900,35900,35900,35900,36900,39000,39000,39000,39000,40600,40600,40800,40800,40800,40800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,43500,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,46300,47000,47000,47000,47000,47000,47000,47000,47000,47000
26700,27800,28700,28700,28700,28800,28800,30300,30300,32600,33300,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,37700,37700,37700,39100,39100,39100,39100,39100,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800
22500,24800,24800,24800,27800,27800,27800,27800,27800,29500,29500,29500,29500,29500,29500,29500,29900,29900,30400,32000,32300,32300,32400,32800,33300,33300,34600,35100,35100,35100,35100,36600,37800,37800,37800,37800,37800,37800,37800,37800,37800,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,41200,42300,42300,42300,42300,42300,42300,42300,42300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46400,46400,46400,46400,46400,46400,46400,47200,47200,47200,47200,47200,47200,47200,47200,47200,47200,47200
21900,25600,25600,25600,25600,27100,28500,29300,29400,29400,29400,29400,30300,30900,30900,33800,33800,33800,33800,33800,34900,34900,36800,37600,37600,37600,38400,38400,38400,38400,38700,38700,38700,38700,38900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,45000,45000,45300,45300,45300,45300,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400
