0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
19600,20800,20800,20800,21900,24000,24000,24000,27500,27500,28200,28200,28200,28200,28800,31700,31700,31700,31700,31700,31700,32400,32400,32800,33200,37400,37400,37400,37400,37400,37400,37400,38100,38100,40900,40900,43000,43000,43000,43100,43100,43100,43700,43700,43700,43700,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,46700,46700,46700,46700,49400,49400,49400,49400,49400,49400,49400,49400,49400,49400,50000,50000,50000,50000,50000,50000,50000,50000,50000,50100,50900,50900,50900,50900,50900,51000,51000,51000,51000,52800,52800,52800,52800,52800,52800,52800,52800,52800,52800,52800,55200,55200,55200,55200,55200,55200,55200,55200,55200,55200,55200,55200,55200,55200,55200,55200,55200,55200,55200,55200,55200,55200,55200,55200,55200,55200,55200,55200,55200,55200,55900,55900,55900,55900,56200,56200,56200,56500,56500,56500,56500,56500,56500,56500
21400,25000,27000,27000,27000,27000,27000,27000,28500,30300,30300,31800,34600,35300,35900,36000,36400,36400,37900,39600,39600,39600,39600,39600,40000,41200,41200,41200,41200,42500,45300,45300,45300,45300,45300,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,46000,46000,46800,46800,46800,48500,48500,48500,49200,49200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,50200,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51800,51800,53600,53600,53600,53600,53600,53600,53600,53600,53600,53600,53600,53600,53600,53600,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400
26900,29500,29500,29500,29500,31200,31200,31200,33600,33600,33600,33600,34300,35000,35000,36600,36600,36600,38300,38300,38300,38300,38800,39800,40000,40000,40000,40500,40500,40500,40500,40500,40500,40500,40500,40500,40900,42800,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,44100,44200,44200,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48700,48700,48700,48700,48700,49200,49200,49200,49200,49200,49200,49200,49200,49200,50200,50200,50200,50200,50200,50200,50400,50400,50400,50400,50400,50400,50400,50400,50400,50400,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,56400,56400,56400,56400,56400,56400,56400,56400,56400,56400
20300,21100,23600,23600,23600,23600,25900,25900,27000,27500,29000,29500,30800,31100,31100,31100,31600,31600,31600,34800,35500,35500,35500,35500,35500,35500,35500,35500,35900,38100,38100,38100,38200,38200,38200,38200,40400,40400,40400,40400,40400,42200,42200,42300,42300,42300,42300,42300,42300,42800,42800,42800,42800,43800,43800,43800,43800,43800,43900,43900,48200,48200,48200,48200,48200,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,52900,53000,53000,53000,53000,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,55900,57600,57600
21100,21500,21500,22300,22700,24200,24200,24200,24200,28100,28100,29100,29100,29100,29100,29100,30100,31200,31200,31200,32600,32600,33100,35500,35500,35500,35500,35800,38000,38000,38000,38000,39400,39400,39400,42100,42100,42100,42400,42400,42400,42600,42600,42600,42900,43400,44800,44800,44800,44800,44800,47000,47000,47000,47000,47000,47000,47000,47100,47100,49100,49100,49100,49100,49100,49100,52900,52900,52900,52900,52900,52900,52900,52900,52900,52900,52900,52900,52900,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,54600,56700,56700,56700,59700,59700,59700,59700,59700,59700,59700,59700,59700,61100,61100,61100,61100,61100,61100,61100,61100,61100,61100,61100,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000
24500,25900,25900,25900,25900,27000,27000,27000,28900,28900,28900,28900,30400,31400,34000,34000,34000,36400,36400,36400,36400,36400,36400,36400,36400,36900,36900,36900,36900,36900,36900,39100,39100,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,44700,44700,44700,44700,44700,44700,45500,45500,45500,45500,45500,45500,45500,45500,45500,45500,45500,47500,47500,47500,47500,47500,47500,47500,47500,47500,47500,47500,48100,48100,48100,48100,50300,50300,51400,51400,51400,51400,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,56500,56500,56500,56500,56500,56500,56500,56500,58500,58500,58500,58500,58500,58500,58500,58500,58500,58500,58500,58500,58500,58600,58600,58600,58600,58600,58600,58600,58600,59300,59300,59300,59300,59300,59300,59300,59300,59300,59300,59300,59300,59300,59300,59300,59300,59300,59300
21700,21700,24200,24200,24900,24900,26500,26500,26500,26500,28600,31400,31400,31400,31400,31400,31900,31900,31900,32100,35900,36400,36600,36600,37600,37700,38500,38500,38500,38500,38500,38500,38500,38500,39300,39300,39300,39300,39300,39300,39300,39300,39300,40100,40100,40100,40100,40200,40200,40600,40600,40600,40600,40600,40600,40600,42000,42600,42600,42600,42600,42600,43400,43400,43400,43400,43600,43600,45600,45600,45600,45600,45900,45900,45900,45900,45900,45900,45900,45900,45900,45900,45900,45900,46000,46000,46000,46000,46000,46000,46500,46500,46500,46500,47800,47800,47800,47800,48300,48300,48400,48400,48400,48700,48700,48700,48700,48700,48700,48700,48700,48700,48700,48700,48700,48700,48700,48700,48700,48700,48700,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800
21400,21400,21400,25600,26000,27500,27500,27500,28100,29500,29500,31000,31500,31500,31500,32200,34300,34300,34300,34300,34300,35000,37700,37700,37700,39900,39900,39900,40000,40000,40000,40000,42100,42100,42100,42100,42100,43700,43700,43700,43700,43700,43700,43700,43700,43900,43900,43900,43900,46000,46000,46000,46000,46000,46000,46000,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,48400,48400,48400,48400,49100,49100,49100,49100,49100,49200,49200,49200,49200,49900,49900,49900,49900,49900,49900,49900,49900,49900,50600,50600,50600,50600,50600,50600,50600,50600,50600,50600,51500,51500,51500,52700,55600,55600,55600,55600,55600,55600,55600,55600,55600,55700,55700,55700,55700,55700,55700,55700,55700,55700,55700,55700,55700,55700,55700,55700,55700,55700,55700,55700,55700,55700,57900,57900,57900,57900,58800,58800,58800,58800
26200,26200,26200,26700,30800,30800,30800,30800,30800,30800,30800,31500,31900,33500,37100,39300,39300,39300,39300,39300,39300,39300,39300,39800,40700,40700,41500,41500,41500,41600,43600,43600,43600,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,47200,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,49600,49600,49600,49600,49600,49600,50800,50800,50800,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,52500,52500,52500,52500,52500,53700,53700,53700,54300,54300,54300,54300,54300,54300,54300,54300,54300,54300,54300,54300,54300,54300,54300,54300,54300,54300,54300,54300,54300,54300,54300,54300,54300
19800,19800,21400,22800,23900,24800,26400,29100,29100,29100,29100,29100,31000,31000,31000,31800,33100,33100,33100,33400,33400,35600,35600,36000,36000,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,42200,42200,42200,42200,42200,42200,42200,42200,42300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44700,44700,44700,44700,45600,45800,45800,45800,45800,45800,46400,46400,47200,47200,47200,49100,49100,49100,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,52300,52300,52300,52300,52300,52300,52300,52300,52300,53000,53000,53000,53200,53200,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,55200,55200,55200,55200,55200,55200,55200,55200,56400,56400,56400,56400,56400,56400,56400,56400
